TF,TARGET
TCF3,AC000068.9
TCF3,AC000068.10
TCF3,AC000078.5
TCF3,SNAP29
TCF3,CRKL
TCF3,AC002472.11
TCF3,SLC7A4
TCF3,YDJC
TCF3,CCDC116
TCF3,KB-1440D3.14
TCF3,SDF2L1
TCF3,PPIL2
TCF3,MIR301B
TCF3,MIR130B
TCF3,KB-1440D3.13
TCF3,RN7SL280P
TCF3,GUSBP11
TCF3,AP000347.2
TCF3,KB-1572G7.2
TCF3,C22orf15
TCF3,CHCHD10
TCF3,MMP11
TCF3,AP000349.2
TCF3,DERL3
TCF3,KB-1125A3.11
TCF3,MIF
TCF3,MIF-AS1
TCF3,AP000350.1
TCF3,AP000350.5
TCF3,KIAA1671
TCF3,RP11-9F11.3
TCF3,ISCA2P1
TCF3,MIAT
TCF3,MIAT_exon1
TCF3,MIAT_exon5_1
TCF3,MIAT_exon5_2
TCF3,CTA-373H7.7
TCF3,MIATNB
TCF3,MIAT_exon5_3
TCF3,PITPNB
TCF3,TTC28-AS1
TCF3,TTC28-AS1_1
TCF3,MIR3199-1
TCF3,TTC28-AS1_2
TCF3,CHEK2
TCF3,HSCB
TCF3,RNU6-1219P
TCF3,EMID1
TCF3,EWSR1
